Date,Open,High,Low,Close,Adj Close,Volume
2019-01-07,6.308330,6.361670,6.285000,6.333330,6.060438,975600
2019-01-08,6.436670,6.766670,6.436670,6.635000,6.349110,6826200
2019-01-09,6.715000,6.750000,6.500000,6.658330,6.371434,2626200
2019-01-10,6.666670,6.666670,6.455000,6.550000,6.267772,1420800
2019-01-11,6.550000,6.605000,6.493330,6.500000,6.219926,4478400
2019-01-14,6.541670,6.766670,6.525000,6.766670,6.475106,2613600
2019-01-15,6.776670,7.000000,6.561670,6.635000,6.349110,4829400
2019-01-16,6.698330,6.718330,6.570000,6.716670,6.427261,1417200
2019-01-17,6.766670,6.993330,6.766670,6.983330,6.682430,3572400
2019-01-18,7.050000,7.166670,7.001670,7.056670,6.752611,2016000
2019-01-21,7.060000,7.216670,7.060000,7.200000,6.889765,2236800
2019-01-22,7.250000,7.331670,7.066670,7.200000,6.889765,2444400
2019-01-23,7.226670,7.300000,7.180000,7.240000,6.928041,845400
2019-01-24,6.998330,6.998330,6.671670,6.875000,6.578769,10545600
2019-01-28,6.731670,6.731670,6.450000,6.591670,6.307647,5294400
2019-01-29,6.600000,6.780000,6.546670,6.691670,6.403338,2457000
2019-01-30,6.716670,6.851670,6.716670,6.783330,6.491048,1226400
2019-01-31,6.783330,7.050000,6.766670,6.983330,6.682430,2014800
2019-02-01,6.983330,7.050000,6.833330,6.971670,6.671273,1397400
2019-02-04,6.983330,7.111670,6.935000,7.111670,6.805241,1214400
2019-02-05,7.111670,7.190000,7.061670,7.190000,6.880196,1261800
2019-02-06,7.181670,7.190000,7.066670,7.176670,6.867440,2319000
2019-02-07,7.176670,7.220000,7.116670,7.150000,6.841919,807000
2019-02-08,7.168330,7.168330,6.746670,6.791670,6.499029,2562000
2019-02-11,6.828330,6.898330,6.668330,6.748330,6.457557,1182600
2019-02-12,6.775000,6.863330,6.483330,6.508330,6.227898,2710200
2019-02-13,6.555000,6.568330,6.368330,6.466670,6.188032,2868000
2019-02-14,6.466670,6.516670,6.340000,6.473330,6.194406,1947600
2019-02-15,6.498330,6.716670,6.441670,6.685000,6.396955,1308000
2019-02-18,6.718330,6.815000,6.610000,6.815000,6.521354,915600
2019-02-19,6.800000,6.831670,6.688330,6.733330,6.443202,3876000
2019-02-20,6.768330,6.816670,6.583330,6.666670,6.379415,905400
2019-02-21,6.666670,6.693330,6.610000,6.650000,6.363463,689400
2019-02-22,6.665000,6.750000,6.615000,6.703330,6.414496,1696200
2019-02-25,6.700000,6.750000,6.533330,6.581670,6.298078,1576800
2019-02-26,6.593330,6.616670,6.383330,6.500000,6.219926,1470600
2019-02-27,6.540000,6.560000,6.435000,6.440000,6.162512,1552200
2019-02-28,6.468330,6.505000,6.285000,6.366670,6.092341,2082000
2019-03-01,6.366670,6.700000,6.366670,6.678330,6.390573,1596600
2019-03-06,6.666670,6.678330,6.490000,6.678330,6.390573,1042800
2019-03-07,6.683330,6.766670,6.683330,6.766670,6.475106,2103600
2019-03-08,6.768330,6.948330,6.698330,6.908330,6.610662,2632200
2019-03-11,6.886670,7.183330,6.861670,7.166670,6.857871,2635200
2019-03-12,7.160000,7.333330,7.041670,7.300000,6.985456,5053800
2019-03-13,7.298330,7.311670,7.125000,7.300000,6.985456,3764400
2019-03-14,7.295000,7.310000,7.173330,7.288330,6.974289,1544400
2019-03-15,7.260000,7.383330,7.221670,7.371670,7.054038,2914800
2019-03-18,7.400000,7.648330,7.388330,7.481670,7.159298,2490600
2019-03-19,7.501670,7.836670,7.501670,7.753330,7.419253,10393200
2019-03-20,7.750000,8.165000,7.750000,8.075000,7.727063,9144000
2019-03-21,8.075000,8.120000,7.901670,8.120000,7.770123,4231200
2019-03-22,7.983330,8.333330,7.983330,8.015000,7.669648,3742200
2019-03-25,7.983330,8.400000,7.783330,8.166670,7.940096,2472000
2019-03-26,8.231670,9.048330,8.210000,9.000000,8.887976,6384000
2019-03-27,8.911670,9.158330,8.763330,8.831670,8.721741,4629600
2019-03-28,8.815000,8.816670,8.391670,8.616670,8.509417,5602200
2019-03-29,8.620000,9.015000,8.620000,8.818330,8.708567,1694400
2019-04-01,8.848330,9.133330,8.848330,8.900000,8.789220,4853400
2019-04-02,9.025000,9.248330,8.918330,9.248330,9.133215,1636800
2019-04-03,9.333330,9.645000,9.248330,9.366670,9.250081,3483000
2019-04-04,9.385000,9.480000,9.266670,9.331670,9.215517,2046000
2019-04-05,9.383330,9.658330,9.110000,9.658330,9.538111,1590000
2019-04-08,9.668330,9.680000,9.496670,9.550000,9.431129,2616600
2019-04-09,9.568330,9.578330,9.430000,9.533330,9.414667,859800
